21-Mar-21,#334,#436,#518,#373,,
28-Mar-21,#614,#620,#450,#394,,
4-Apr-21,631,623,504,461,282,
11-Apr-21,182,263,162,,264,258
18-Apr-21,#317,#83,#626,#447,#44,#482
25-Apr-21,#93,#365,#239,#541,#478,#453
2-May-21,139,31,#258,436,#373,#489
9-May-21,336,83,677,,,282
16-May-21,#484,#80,#233,#436,#479,#44
23-May-21,#656,#107,#450,#447,#663,#504
30-May-21,#334,#619,#449,#83,#91a,#91b
6-Jun-21,#336,#365,#239,#453,#44,#482
13-Jun-21,301,,414,,#478,#489
20-Jun-21,#335,#697,#278,#436,#499,#399
27-Jun-21,484,623,418,537,504,479
4-Jul-21,,233,364,540a,482,44
11-Jul-21,#414,31,#373,#364,#83,#83
18-Jul-21,139,80,286-287,450,83,453
25-Jul-21,#323,,#412,#327,#499,#504
1-Aug-21,#335,#107,#233,#681,#44,#489
8-Aug-21,#93,#620,#373,#278,#453,#531
15-Aug-21,347,256,500,399,478,488
22-Aug-21,#334,#41,#450,#346,#44,#393
29-Aug-21,347,80,137,364,83,83
5-Sep-21,#185,619,#436,537,500,499
12-Sep-21,335,Insert,309,181A,35,626
19-Sep-21,#327,620,447,,478,453
26-Sep-21,484,365,327,531,399,489
3-Oct-21,347,80,193,346,504,499
10-Oct-21,#93,#107,#407,#666,#500,#393
17-Oct-21,#185,Insert,#414,#386,#499,#233
24-Oct-21,#93,#620,#373,#278,#453,#531
31-Oct-21,407,107,449,541,478,258
7-Nov-21,#331,#229,#436,#489,#626,#83
14-Nov-21,317,80,414,374,531,453
21-Nov-21,#334,619,239,181A,44,#233
28-Nov-21,#547,#558,#546,#461,#561,#488
5-Dec-21,555,564,554,570,579,586
12-Dec-21,572,558,573,579,587,555
19-Dec-21,566,561,547,580,571,593
26-Dec-21,567,564,580,570,579,577
2-Jan-22,,,,,,
2-Jan-22,567,564,596,252,587,600
9-Jan-22,614,263,554,364,436,83
16-Jan-22,337,229,558,364,306,489
23-Jan-22,346,450,239,282,44,482
30-Jan-22,87,265,450,541,478,453
6-Feb-22,484,365,414,538,447,488
13-Feb-22,139,31,411,453,293,666
20-Feb-22,334,258,436,626,479,44
27-Feb-22,317,365,233,83,663,504
6-Mar-22,531,107,306,665,91a,91b
13-Mar-22,347,394,518,397,44,500
20-Mar-22,334,436,518,399,478,489
27-Mar-22,278,620,450,677,499,453
3-Apr-22,181a-b,623,137,461,504,479
10-Apr-22,614,619,258,626,412,499
17-Apr-22,631,626,635,447,44,482
24-Apr-22,344,365,39,541,478,453
1-May-22,294,31,258,436,373,489
8-May-22,335,83,677,137,293,282
15-May-22,484,80,233,436,479,44
22-May-22,139,107,641,447,663,504
29-May-22,656,233,641,31,91a,91b
5-Jun-22,337,365,656,453,44,482
12-Jun-22,301,619,414,541,478,489
19-Jun-22,335,697,278,436,499,399
26-Jun-22,407,623,418,399,504,479 a & b
3-Jul-22,681,233,364,631,482,44
10-Jul-22,414,41,373,540a,412,499
17-Jul-22,16,80,447,166,83,453
24-Jul-22,139,255,412,327,499,504
31-Jul-22,335,107,233,461,44,489
7-Aug-22,16,620,278,435,453,531
14-Aug-22,347,256,500,250,478,488
21-Aug-22,334,41a & b,450,346,44,393
28-Aug-22,294,80,137,373,83,489
4-Sep-22,185,619,436,193,500,499
11-Sep-22,335,255,435,181A,35,626
18-Sep-22,327,620,239,541,478,453
25-Sep-22,16,365,233,531,500,489
2-Oct-22,347,11,258,155,504,499
9-Oct-22,335,11,414,407,399,393
16-Oct-22,185,11,386,21,499,233
23-Oct-22,334,11,461,468,453,531
30-Oct-22,407,107,449,541,478,258
6-Nov-22,137,229,435,540,626,83
13-Nov-22,414,80,364,677,531,453
20-Nov-22,676,619,239,686,44,233
27-Nov-22,294,558,546,686,561,461
4-Dec-22,555,564,554,570,579,586
11-Dec-22,572,547,573,579,587,555
18-Dec-22,566,561,547,39,580,593
25-Dec-22,567,564,608,566,579,577
1-Jan-23,,,,,,
1-Jan-23,600,564,596,252,587,586
8-Jan-23,614,263,554,600,436,83
15-Jan-23,337,229,558,541,306,489
22-Jan-23,346,365,239,364,478,482
29-Jan-23,87,265,450,294,44,453
5-Feb-23,484,365,538,155,447,488
12-Feb-23,331,31,411,139,293,666
19-Feb-23,334,258,436,626,479,44
26-Feb-23,317,365,233,83,663,504
5-Mar-23,531,107,306,541,91a,91b
12-Mar-23,347,394,518,397,44,500
19-Mar-23,334,436,518,399,478,489
26-Mar-23,290,620,450,541,499,435
2-Apr-23,614,623,137,677,619,484
9-Apr-23,631,619,411,635,412,482
16-Apr-23,294,626,39,447,44,453
23-Apr-23,344,365,306,461,478,399
30-Apr-23,334,31,258,436,373,489
7-May-23,335,83,677,137,293,282
14-May-23,484,80,233,436,479,44
21-May-23,641,107,662,447,663,504
28-May-23,656,233,641,662,91a,91b
4-Jun-23,337,365,170,453,44,482
11-Jun-23,301,619,414,155,478,461
18-Jun-23,335,697,278,436,499,399
25-Jun-23,407,83,418,399,504,479 a & b
2-Jul-23,334,233,364,83,482,44
9-Jul-23,414,41,373,327,412,435
16-Jul-23,16,80,447,166,83,453
23-Jul-23,139,255,412,83,499,327
30-Jul-23,335,107,290,41,42,44
6-Aug-23,16,365,278,45,453,531
13-Aug-23,347,256,500,461,478,488
20-Aug-23,334,41,450,346,44,393
27-Aug-23,294,80,137,373,83,489
3-Sep-23,185,619,449,541,500,499
10-Sep-23,335,255,435,49a&b,35,626
17-Sep-23,327,620,239,541,478,453
24-Sep-23,16,365,233,531,500,489
1-Oct-23,347,11,258,155,504,499
8-Oct-23,181a & b,306,414,407,399,393
15-Oct-23,335,11,386,399,499,233
22-Oct-23,334,83,710,468,453,531
29-Oct-23,294,107,407,541,478,258
5-Nov-23,137,229,435,540,626,83
12-Nov-23,414,80,686,399,453,531
19-Nov-23,676,619,239,290,44,686
26-Nov-23,294,558,546,193,561,461
3-Dec-23,555,564,554,570,579,586
10-Dec-23,572,547,573,579,587,555
17-Dec-23,566,561,547,39,580,593
24-Dec-23,567,564,608,566,579,577
31-Dec-23,600,580,596,252,587,586
,,,,,,
7-Jan-24,290,365,686,600,623,193
14-Jan-24,414,620,436,600,626,83
21-Jan-24,337,229,327,386,306,489
28-Jan-24,346,365,239,468,478,482
4-Feb-24,294,265,450,538,44,453
11-Feb-24,484,365,538,155,447,488
18-Feb-24,185,31,411,468,293,666
25-Feb-24,334,258,436,626,479,44
3-Mar-24,317,107,233,83,482,504
10-Mar-24,531,418,306,518,91a,91b
17-Mar-24,347,450,518,461,44,500
24-Mar-24,290,418,614,399,478,489
31-Mar-24,631,620,351,641,499,435
7-Apr-24,16,351,45,677,619,484
14-Apr-24,334,619,137,233,412,482
21-Apr-24,294,626,351,60,44,453
28-Apr-24,344,371,306,62,478,399
5-May-24,334,31,288,436,373,489
12-May-24,641,83,207,137,531,666
19-May-24,656,80,662,541,479,44
26-May-24,335,107,641,65,504,83
2-Jun-24,484,418,233,399,91a,91b
9-Jun-24,337,365,170,71,44,482
16-Jun-24,301,619,414,155,478,461
23-Jun-24,335,365,278,436,499,399
30-Jun-24,407,83,364,75a & b,504,479 a & b
7-Jul-24,334,233,290,83,482,44
14-Jul-24,414,41,373,80,412,435
21-Jul-24,16,80,447,166,83,453
28-Jul-24,139,255,412,83,499,327
4-Aug-24,335,107,290,41,42,44
11-Aug-24,16,365,278,45,453,531
18-Aug-24,347,256,500,461,478,488
25-Aug-24,334,41,450,346,44,393
1-Sep-24,294,80,137,374,500,482
8-Sep-24,185,619,449,665,83,489
15-Sep-24,335,255,435,49a&b,35,484
22-Sep-24,327,258,239,207,478,541
29-Sep-24,16,351,233,193,500,482
6-Oct-24,347,229,500,364,504,499
13-Oct-24,181a & b,587,414,407,399,393
20-Oct-24,335,11,386,399,83,233
27-Oct-24,334,83,710,407,453,531
3-Nov-24,294,107,681,665,478,258
10-Nov-24,137,229,435,540,626,83
17-Nov-24,414,80,686,91a & b,453,671
24-Nov-24,676,619,239,155,290,686
